2025-07-19 12:46:08 INFO  TestSenario_1:104 - Chrome browser opened successfully
2025-07-19 12:46:18 INFO  TestSenario_1:20 - PopUp closed
2025-07-19 12:46:18 INFO  TestSenario_1:23 - Home page is validated
2025-07-19 12:46:18 INFO  TestSenario_1:24 - Test case 1 passed
2025-07-19 12:46:18 INFO  TestSenario_1:32 - login page is opened
2025-07-19 12:46:19 INFO  TestSenario_1:35 - login page skiped
2025-07-19 12:46:19 INFO  TestSenario_1:37 - login page is validated
2025-07-19 12:46:19 INFO  TestSenario_1:38 - Test case 2 passed
2025-07-19 12:46:19 INFO  TestSenario_1:50 - location and search field is validated
2025-07-19 12:46:22 INFO  TestSenario_1:25 - Location and car wash service provided
2025-07-19 12:46:22 INFO  TestSenario_1:27 - Car wash service title captured
2025-07-19 12:46:22 INFO  TestSenario_1:29 - Car wash service screenshot captured
2025-07-19 12:46:22 INFO  TestSenario_1:32 - Car wash service title validated
2025-07-19 12:46:23 INFO  TestSenario_1:51 - The location as Chennai is validated
2025-07-19 12:46:23 INFO  TestSenario_1:59 - Car wash page scrolled
2025-07-19 12:46:23 INFO  TestSenario_1:61 - service page is not empty
2025-07-19 12:46:23 INFO  TestSenario_1:62 - fields are avaiable in result
2025-07-19 12:46:32 INFO  TestSenario_1:71 - Car washing service names, phone no, rating, votes are stored in lists
2025-07-19 12:46:32 INFO  TestSenario_1:73 - Sorted is validated
2025-07-19 12:46:32 INFO  TestSenario_1:75 - Screenshot of rating captured
2025-07-19 12:46:32 INFO  TestSenario_1:88 - clicked on deals
2025-07-19 12:46:33 INFO  TestSenario_1:90 - Test case validated
2025-07-19 12:46:33 INFO  TestSenario_1:96 - redirected to Homepage
2025-07-19 12:46:35 INFO  TestSenario_1:22 - Free Listing button is validated at homepage
2025-07-19 12:46:39 INFO  TestSenario_1:30 - Free Listing button clicked
2025-07-19 12:46:39 INFO  TestSenario_1:32 - Title of Free Listing page captured
2025-07-19 12:46:39 INFO  TestSenario_1:34 - Free Listing page is validated
